certificate_no,company,company_link,country,product_designation,certificate_type,software_version,protocol_version,date_of_registration,certificate_url,product_type
OCA.0016.0584.CSMS,Nexthing,,Republic of Korea,NCSMS,Full,1.6,OCPP 1.6,2023-12-08,https://openchargealliance.org/wp-content/uploads/2024/01/Certificate_OCA.0016.0584.CSMS_Nexthing.pdf,Charging Station Management System
OCA.0016.0078.CSMS,"Nice TCM Co., Ltd.",https://openchargealliance.org/participants/nice-tcm-co-ltd/,Republic of Korea,NICE Charger CSMS,Full,1.0.0,OCPP 1.6,2022-03-28,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0078.CSMS_NICE-TCM-full.pdf,Charging Station Management System
OCA.0016.0079.CSMS,"Nice TCM Co., Ltd.",https://openchargealliance.org/participants/nice-tcm-co-ltd/,Republic of Korea,NICE Charger CSMS,Security,1.0.0,OCPP 1.6,2022-03-28,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0079.CSMS-NICE-TCM-security.pdf,Charging Station Management System
OCA.0201.0171.CSMS,"NiceInfra Co., Ltd",https://openchargealliance.org/participants/nice-tcm-co-ltd/,Republic of Korea,NiceInfra CSMS,Core,1.0.0,OCPP 2.0.1,2026-06-29,https://openchargealliance.org/wp-content/uploads/2026/07/Certificate_OCA.0201.0171.CSMS_NiceInfra.pdf,Charging Station Management System
OCA.0016.0960.CSMS,"Ningbo Sanxing Smart Electric Co., Ltd.",,China,SanXing CSMS,Full,0.1.0,OCPP 1.6,2025-01-14,https://openchargealliance.org/wp-content/uploads/2025/02/Certificate_OCA.0016.0960.CSMS_NSSE.pdf,Charging Station Management System
OCA.0016.1003.CSMS,NongHyup Agribusiness Group Inc.,,Republic of Korea,NHCharge CSMS 1.6,Full + Security,1.6.01,OCPP 1.6,2025-02-11,https://openchargealliance.org/wp-content/uploads/2025/03/Certificate_OCA.0016.1003.CSMS_NHAG.pdf,Charging Station Management System
OCA.0016.0519.CSMS,Noodoe Inc.,https://openchargealliance.org/participants/noodoe-inc/,USA,Noodoe EV OS,Full,v1.0.2,OCPP 1.6,2023-10-13,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0519.CSMS_Noodoe.pdf,Charging Station Management System
OCA.0201.0024.CSMS,Noodoe Inc.,https://openchargealliance.org/participants/noodoe-inc/,USA,Noodoe EV OS,Core + S,v2.0,OCPP 2.0.1,2024-05-16,https://openchargealliance.org/wp-content/uploads/2024/05/Certificate_OCA.0201.0024.CSMS_Noodoe.pdf,Charging Station Management System
OCA.0016.1085.CSMS,Numocity Technologies Pvt Ltd.,https://openchargealliance.org/participants/numocity-technologies/,India,Numocity EV Charging Platform,Full + Security,3.40.18,OCPP 1.6,2025-08-10,https://openchargealliance.org/wp-content/uploads/2025/08/Certificate_OCA.0016.1085.CSMS_Numocity.pdf,Charging Station Management System
OCA.0016.1100.CSMS,"OMNISYSTEM CO., LTD.",https://openchargealliance.org/participants/omnisystem-co-ltd/,Republic of Korea,EVAS 2.0,Full + Security,1.0.2,OCPP 1.6,2025-08-19,https://openchargealliance.org/wp-content/uploads/2025/09/Certificate_OCA.0016.1100.CSMS_OMNISYSTEM.pdf,Charging Station Management System
OCA.0016.0276.CSMS,"Parkingcloud Co., Ltd.",https://openchargealliance.org/participants/parkingcloud-co-ltd/,Republic of Korea,iPARKING EV,Full,iParking EV v1.0.0,OCPP 1.6,2023-02-16,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0276.CSMS_Parkingcloud-Co.Ltd_.pdf,Charging Station Management System
OCA.0016.0277.CSMS,"Parkingcloud Co., Ltd.",https://openchargealliance.org/participants/parkingcloud-co-ltd/,Republic of Korea,iPARKING EV,Security,iParking EV v1.0.0,OCPP 1.6,2023-02-16,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0277.CSMS_Parkingcloud-Co.Ltd_.pdf,Charging Station Management System
OCA.0016.0980.CSMS,"Pline Motors Co., Ltd.",,Republic of Korea,PODO-CMS,Full,1.6,OCPP 1.6,2025-01-27,https://openchargealliance.org/wp-content/uploads/2025/02/Certificate_OCA.0016.0980.CSMS_Pline.pdf,Charging Station Management System
OCA.0016.0551.CSMS,Pluglink Inc.,,Republic of Korea,Pluglink Connect,Full,1.0.1,OCPP 1.6,2023-10-24,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0551.CSMS_Pluglink.pdf,Charging Station Management System
OCA.0016.0552.CSMS,Pluglink Inc.,,Republic of Korea,Pluglink Connect,Security,1.0.1,OCPP 1.6,2023-10-24,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0552.CSMS_Pluglink.pdf,Charging Station Management System
OCA.0016.0085.CSMS,PMGROW,,Republic of Korea,ChargeMon,Full,v1.0,OCPP 1.6,2022-03-15,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160085CSMS_PMGROW.pdf,Charging Station Management System
OCA.0016.0086.CSMS,PMGROW,,Republic of Korea,ChargeMon,Security,v1.0,OCPP 1.6,2022-03-15,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160086CSMS_PMGROW.pdf,Charging Station Management System
OCA.0016.0148.CSMS,"Powercube Korea Co., Ltd.",https://openchargealliance.org/participants/powercube-korea-co-ltd/,Republic of Korea,evSystem v1.1,Full,1.0,OCPP 1.6,2022-05-24,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160148CSMS_Powercube.pdf,Charging Station Management System
OCA.0016.1261.CSMS,Powerfill Technologies Ltd,https://openchargealliance.org/participants/powerfill-technologies-ltd/,Germany,SteVe OCPP Pro,Core + S + C,Powerfill.io - SteVe OCPP Pro v3.14.0,OCPP 1.6,2026-07-07,https://openchargealliance.org/wp-content/uploads/2026/07/Certificate_OCA.0016.1261.CSMS_Powerfill.pdf,Charging Station Management System
OCA.0016.1225.CSMS,ProRanked LLC,https://openchargealliance.org/participants/proranked-llc/,Puerto Rico,Phevnix Charging Platform,Core + S + C,2.0.0,OCPP 1.6,2026-04-24,https://openchargealliance.org/wp-content/uploads/2026/05/Certificate_OCA.0016.1225.CSMS_Proranked.pdf,Charging Station Management System
OCA.0016.1189.CSMS,"PSTEC Co., Ltd.",https://openchargealliance.org/participants/pstec-co-ltd/,Republic of Korea,ChargeBox,Core + S + C,EVCMS-V3.1.6-R20260201,OCPP 1.6,2026-01-19,https://openchargealliance.org/wp-content/uploads/2026/02/Certificate_OCA.0016.1189.CSMS_PSTEC.pdf,Charging Station Management System
OCA.0201.0008.CSMS,"PUMPKIN Co., Ltd.",https://openchargealliance.org/participants/pumpkin-co-ltd/,Republic of Korea,eBAB Charge Platform,Core + S,1.0.0,OCPP 2.0.1,2023-10-29,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0201.0008.CSMS_PUMPKIN.pdf,Charging Station Management System
OCA.0016.0031.CSMS,"PUMPKIN Co., Ltd.",https://openchargealliance.org/participants/pumpkin-co-ltd/,Republic of Korea,eBAB Server v1.6,Full,1.0,OCPP 1.6,2021-11-03,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160031CSMS_PUMPKIN.pdf,Charging Station Management System
OCA.0016.0032.CSMS,"PUMPKIN Co., Ltd.",https://openchargealliance.org/participants/pumpkin-co-ltd/,Republic of Korea,eBAB Server v1.6,Security,1.0,OCPP 1.6,2021-11-03,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160032CSMS_PUMPKIN.pdf,Charging Station Management System
OCA.0016.0061.CSMS,"PUMPKIN Co., Ltd.",https://openchargealliance.org/participants/pumpkin-co-ltd/,Republic of Korea,eBAB Server v1.6.1,Full,PKOcppSvr v1.2,OCPP 1.6,2022-03-04,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160061CSMS_PUMPKIN.pdf,Charging Station Management System
OCA.0016.0062.CSMS,"PUMPKIN Co., Ltd.",https://openchargealliance.org/participants/pumpkin-co-ltd/,Republic of Korea,eBAB Server v1.6.1,Security,PKOcppSvr v1.2,OCPP 1.6,2022-03-04,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160062CSMS_PUMPKIN.pdf,Charging Station Management System
OCA.0016.1012.CSMS,QCharge LLC,,USA,QCharge,Full,1.0.0,OCPP 1.6,2025-03-13,https://openchargealliance.org/wp-content/uploads/2025/03/Certificate_OCA.0016.1012.CSMS_QCharge.pdf,Charging Station Management System
OCA.0016.1154.CSMS,RAB Lighting Inc.,https://openchargealliance.org/participants/rab-lighting-inc/,USA,Lightcloud Charge,Core + S + C,v1.2.0,OCPP 1.6,2025-11-10,https://openchargealliance.org/wp-content/uploads/2025/12/Certificate_OCA.0016.1154.CSMS_Rablighting.pdf,Charging Station Management System
OCA.0016.0125.CSMS,"Redeng Co., Ltd.",,Republic of Korea,RED-CSMS-K10,Full,1.0,OCPP 1.6,2022-04-13,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160125CSMS_RED-ENG-Inc.pdf,Charging Station Management System
OCA.0016.0126.CSMS,"Redeng Co., Ltd.",,Republic of Korea,RED-CSMS-K10,Security,1.0,OCPP 1.6,2022-04-13,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160126CSMS_RED-ENG.pdf,Charging Station Management System
OCA.0201.0089.CSMS,ReliON,https://openchargealliance.org/participants/relion/,Canada,ReliON Platform & Broker,Core + S + C + D + U,2025.04.07,OCPP 2.0.1,2025-05-27,https://openchargealliance.org/wp-content/uploads/2025/06/Certificate_OCA.0201.0089.CSMS_ReliON.pdf,Charging Station Management System
OCA.0016.0877.CSMS,"Rewaltek (Shenzhen) Technology Co.,Ltd",,China,Rewaltek CSMS,Full,v1.0.0,OCPP 1.6,2024-08-30,https://openchargealliance.org/wp-content/uploads/2024/10/Certificate_OCA.0016.0877.CSMS_Rewaltek.pdf,Charging Station Management System
OCA.0201.0053.CSMS,S44 Energy,https://openchargealliance.org/participants/s44-energy/,USA,CitrineOS,Core + S,1.5.1,OCPP 2.0.1,2024-12-12,https://openchargealliance.org/wp-content/uploads/2025/01/Certificate_OCA.0201.0053.CSMS_S44.pdf,Charging Station Management System
OCA.0016.0064.CSMS,Samsung EVC,,Republic of Korea,CP100(ver. v1.1.1),Full,202202,OCPP 1.6,2022-03-02,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160064CSMS_Samsung-EVC-full.pdf,Charging Station Management System
OCA.0016.0065.CSMS,Samsung EVC,,Republic of Korea,CP100(ver. v1.1.1),Security,202202,OCPP 1.6,2022-03-02,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160065CSMS_Samsung-EVC-security.pdf,Charging Station Management System
OCA.0016.1153.CSMS - update-2025-12-12,"SEL SYSTEM Co.,Ltd",https://openchargealliance.org/participants/sel-system-co-ltd/,Republic of Korea,EVDX CSMS,Core + C,v1.0.0,OCPP 1.6,2025-11-19,https://openchargealliance.org/wp-content/uploads/2025/12/Certificate_OCA.0016.1153.CSMS_SEL_SYSTEM-1.pdf,Charging Station Management System
OCA.0016.0019.CSMS,SemaConnect Inc,https://openchargealliance.org/participants/blinkcharging/,USA,SemaConnect Network Platform,Full,v1.0408.27,OCPP 1.6,2021-05-12,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160019CSMS_SemaConnect.pdf,Charging Station Management System
OCA.0016.0181.CSMS,"SeonKwang System Co., Ltd",https://openchargealliance.org/participants/seonkwang-system-co-ltd/,Republic of Korea,CSMS,Full,V1.0.0,OCPP 1.6,2022-09-02,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0181.CSMS_SKSEVC.pdf,Charging Station Management System
OCA.0016.0021.CSMS,Seoul Energy Cooperation,,Republic of Korea,Seoul Energy EV CSMS,Full,v1.0.2,OCPP 1.6,2021-09-13,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160021CSMS_SEC.pdf,Charging Station Management System
OCA.0016.0022.CSMS,Seoul Energy Cooperation,,Republic of Korea,Seoul Energy EV CSMS,Security,v1.0.2,OCPP 1.6,2021-09-13,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160022CSMS_SEC.pdf,Charging Station Management System
OCA.0016.1114.CSMS,SG Safety Corp.,,Republic of Korea,FILTSON EV,Full + Security,1.0.0,OCPP 1.6,2025-09-15,https://openchargealliance.org/wp-content/uploads/2025/10/Certificate_OCA.0016.0114.CSMS_SG_Safety_Corp.pdf,Charging Station Management System
OCA.0201.0043.CSMS,"Shenzhen EN Plus Tech Co., Ltd.",https://openchargealliance.org/participants/shenzhen-en-plus-tech-co-ltd/,China,Evchargo Cloud,Core + S,v2.7.0,OCPP 2.0.1,2024-08-30,https://openchargealliance.org/wp-content/uploads/2024/10/Certificate_OCA.0201.0043.CSMS_Shenzen_EN_PLUS.pdf,Charging Station Management System
OCA.0201.0157.CSMS,Shenzhen Infypower Co. Ltd,https://openchargealliance.org/participants/shenzhen-infypower-co-ltd/,China,Elecatcher,Core + S + C + I,V2.0.2,OCPP 2.0.1,2026-06-01,https://openchargealliance.org/wp-content/uploads/2026/06/Certificate_OCA.0201.0157.CSMS_Shenzhen_Infypower.pdf,Charging Station Management System
OCA.0016.0895.CSMS,"Shenzhen Infypower Co., Ltd",https://openchargealliance.org/participants/shenzhen-infypower-co-ltd/,China,Elecatcher,Full + Security,V1.6.6,OCPP 1.6,2024-12-18,https://openchargealliance.org/wp-content/uploads/2025/01/Certificate_OCA.0016.0895.CSMS_Infypower.pdf,Charging Station Management System
OCA.0016.0056.CSMS,Shinsegae I&C,,Republic of Korea,CSMS,Full,Shinsegae I&C EV CSMS 1.0,OCPP 1.6,2022-02-22,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160056CSMS_Shinsegae.pdf,Charging Station Management System
OCA.0016.0057.CSMS,Shinsegae I&C,,Republic of Korea,CSMS,Security,Shinsegae I&C EV CSMS 1.0,OCPP 1.6,2022-02-22,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160057CSMS_Shinsegae.pdf,Charging Station Management System
OCA.0016.0458.CSMS,Siemens AG,https://openchargealliance.org/participants/siemens-ag/,Germany,Siemens AG – DepotFinity,Full,6.4,OCPP 1.6,2023-08-08,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0458.CSMS_Siemens-AG.pdf,Charging Station Management System
OCA.0201.0073.CSMS,"SK electlink Co., Ltd.",https://openchargealliance.org/participants/sk-electlink-co-ltd/,Republic of Korea,SK-ELECT-CSMS2,Core + S,1.0.0,OCPP 2.0.1,2025-01-23,https://openchargealliance.org/wp-content/uploads/2025/03/Certificate_OCA.0201.0073.CSMS_SK_electlink.pdf,Charging Station Management System
OCA.0016.0413.CSMS,"SK Electlink Co., Ltd.",https://openchargealliance.org/participants/sk-electlink-co-ltd/,Republic of Korea,SKEL_CSMS_SGY,Full,1.0,OCPP 1.6,2023-06-21,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0413.CSMS_SK-electlink.pdf,Charging Station Management System
OCA.0016.0156.CSMS,SK Energy,,Republic of Korea,Muffin EV,Full,1.0,OCPP 1.6,2022-06-09,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160156CSMS_SK-Energy.pdf,Charging Station Management System
OCA.0016.0107.CSMS,SK Signet Inc.,https://openchargealliance.org/participants/sk-signet-inc/,Republic of Korea,SKSIGNET CSMS 1.6,Full,1.0,OCPP 1.6,2022-04-22,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160107CSMS_SK-SIGNET.pdf,Charging Station Management System
OCA.0016.1186.CSMS,Smart Business & Technologies Solutions SRL,https://openchargealliance.org/participants/smart-business-technologies-solutions-srl/,Romania,Voltrelli CSMS,Core + S + C,1.6J,OCPP 1.6,2026-01-21,https://openchargealliance.org/wp-content/uploads/2026/01/Certificate_OCA.0016.1186.CSMS_SB-TS.pdf,Charging Station Management System
OCA.0016.0466.CSMS,"Smartport Technology Co., Ltd",,Republic of Korea,Smart-CSMS,Full,1.0.0,OCPP 1.6,2023-08-11,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0466.CSMS_Smartport-Technology.pdf,Charging Station Management System
OCA.0016.0467.CSMS,"Smartport Technology Co., Ltd",,Republic of Korea,Smart-CSMS,Security,1.0.0,OCPP 1.6,2023-08-11,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0467_Smartport-Technology.pdf,Charging Station Management System
OCA.0016.0585.CSMS,SOFTBERRY,,Republic of Korea,EV Infra Hub,Full,v20230503.01,OCPP 1.6,2023-12-08,https://openchargealliance.org/wp-content/uploads/2024/01/Certificate_OCA.0016.0585.CSMS_Softberry.pdf,Charging Station Management System
OCA.0016.1006.CSMS,Solidstudio sp. z o.o.,https://openchargealliance.org/participants/solidstudio-sp-z-o-o/,Poland,Solidstudio CPMS,Full + Security,1.0,OCPP 1.6,2025-02-19,https://openchargealliance.org/wp-content/uploads/2025/02/Certificate_OCA.0016.1006.CSMS_SolidStudio.pdf,Charging Station Management System
OCA.0016.0033.CSMS,"Speel Co., Ltd.",,Republic of Korea,SPEEL_CSMS_NSO16,Full,1.0.0,OCPP 1.6,2021-11-23,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160033CSMS_Speel.pdf,Charging Station Management System
OCA.0016.0034.CSMS,"Speel Co., Ltd.",,Republic of Korea,SPEEL_CSMS_NSO16,Security,1.0.0,OCPP 1.6,2021-11-23,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160034CSMS_Speel.pdf,Charging Station Management System
OCA.0016.0655.CSMS,Starcharge Energy Pte. Ltd.,https://openchargealliance.org/participants/wanbang-digital-energy-co-ltd/,Singapore,Charging Station Management System,Full,1.0,OCPP 1.6,2024-01-26,https://openchargealliance.org/wp-content/uploads/2024/04/Certificate_OCA.0016.0655.CSMS_Starcharge.pdf,Charging Station Management System
OCA.0016.0728.CSMS,Starcharge Energy Pte. Ltd.,https://openchargealliance.org/participants/wanbang-digital-energy-co-ltd/,Singapore,Charging Station Management System,Full,1.1,OCPP 1.6,2024-04-29,https://openchargealliance.org/wp-content/uploads/2024/05/Certificate_OCA.0016.0728.CSMS_Starcharge.pdf,Charging Station Management System
OCA.0016.0729.CSMS,Starcharge Energy Pte. Ltd.,https://openchargealliance.org/participants/wanbang-digital-energy-co-ltd/,Singapore,Charging Station Management System,Security,1.1,OCPP 1.6,2024-04-29,https://openchargealliance.org/wp-content/uploads/2024/05/Certificate_OCA.0016.0729.CSMS_Starcharge.pdf,Charging Station Management System
OCA.0201.0139.CSMS,STARCHARGE ENERGY PTE. LTD.,https://openchargealliance.org/participants/wanbang-digital-energy-co-ltd/,China,StarCharge Nebula CSMS,Core + S + C + I,2.13.0,OCPP 2.0.1,2026-02-13,https://openchargealliance.org/wp-content/uploads/2026/03/Certificate_OCA.0201.0139.CSMS_Starcharge.pdf,Charging Station Management System
OCA.0016.0080.CSMS,"Starkoff Co., Ltd.",https://openchargealliance.org/participants/starkoff-co-ltd/,Republic of Korea,Starkoff ChargeMaster (STAR_CSMS V1.0),Full,1.0,OCPP 1.6,2022-03-29,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160080CSMS_Starkoff-full.pdf,Charging Station Management System
OCA.0016.0081.CSMS,"Starkoff Co., Ltd.",https://openchargealliance.org/participants/starkoff-co-ltd/,Republic of Korea,Starkoff ChargeMaster (STAR_CSMS V1.0),Security,1.0,OCPP 1.6,2022-03-29,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160081CSMS_STARKOFF-security.pdf,Charging Station Management System
OCA.0016.0942.CSMS,"STARKOFF Co.,Ltd.",https://openchargealliance.org/participants/starkoff-co-ltd/,Republic of Korea,STARCSMS,Full + Security,,OCPP 1.6,2024-12-23,https://openchargealliance.org/wp-content/uploads/2025/01/Certificate_OCA.0016.0942.CSMS_Starkoff.pdf,Charging Station Management System
OCA.0016.0051.CSMS,STRAFFIC Co. LTD.,,Republic of Korea,SSCharger CSMS,Full,1.0.0,OCPP 1.6,2022-02-16,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160051CSMS_Straffic.pdf,Charging Station Management System
OCA.0016.0704.CSMS,Strides Digital Pte. Ltd.,,Singapore,Strides Digital CMS,Full,1.22.0,OCPP 1.6,2024-04-05,https://openchargealliance.org/wp-content/uploads/2024/04/Certificate_OCA.0016.0704.CSMS_Strides.pdf,Charging Station Management System
OCA.0016.0705.CSMS,Strides Digital Pte. Ltd.,,Singapore,Strides Digital CMS,Security,1.22.0,OCPP 1.6,2024-04-05,https://openchargealliance.org/wp-content/uploads/2024/04/Certificate_OCA.0016.0705.CSMS_Strides.pdf,Charging Station Management System
OCA.0016.0111.CSMS,"SUNGMIN, Ltd.",,Republic of Korea,SM-Charger,Full,1.0,OCPP 1.6,2022-04-22,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160111CSMS_SUNGMIN.pdf,Charging Station Management System
OCA.0016.0112.CSMS,"SUNGMIN, Ltd.",,Republic of Korea,SM-Charger,Security,1.0,OCPP 1.6,2022-04-22,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160112.CSMS_SUNGMIN.pdf,Charging Station Management System
OCA.0201.0011.CSMS,Switch EV Ltd,,United Kingdom,Switch Platform,Core + S,1.0.0,OCPP 2.0.1,2023-11-11,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0201.0011.CSMS_Switch.pdf,Charging Station Management System
OCA.0016.0222.CSMS,SWTCH Energy Inc.,https://openchargealliance.org/participants/swtch-energy-inc/,Canada,SWTCH OS,Full,v1.6.1,OCPP 1.6,2023-01-09,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0222.CSMS_SWTCHEnergyInc.pdf,Charging Station Management System
OCA.0201.0036.CSMS,SWTCH Energy Inc.,https://openchargealliance.org/participants/swtch-energy-inc/,Canada,SWTCH OS,Core,2.0.1,OCPP 2.0.1,2024-06-12,https://openchargealliance.org/wp-content/uploads/2024/06/Certificate_OCA.0201.0036.CSMS_SWTCH.pdf,Charging Station Management System
OCA.0016.0011.CSMS,Tardis Technology,https://openchargealliance.org/participants/tardis-technology/,Republic of Korea,CSMS,Full,evCloud v1.0.0,OCPP 1.6,2021-06-25,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160011CSMS_Tardis-Technology.pdf,Charging Station Management System
OCA.0016.0012.CSMS,Tardis Technology,https://openchargealliance.org/participants/tardis-technology/,Republic of Korea,CSMS,Security,evCloud v1.0.0,OCPP 1.6,2021-06-25,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160012CSMS_Tardis-Technology.pdf,Charging Station Management System
OCA.0201.0009.CSMS,Tardis Technology,https://openchargealliance.org/participants/tardis-technology/,Republic of Korea,evCloud v2.0.0,Core + S,2.0.0,OCPP 2.0.1,2023-10-16,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0201.0009.CSMS_Tardis.pdf,Charging Station Management System
OCA.0201.0030.CSMS,Tardis Technology,https://openchargealliance.org/participants/tardis-technology/,Republic of Korea,evCloud v2.0.0,Core + S + L + C + D + R + U + I,2.0.0,OCPP 2.0.1,2025-04-08,https://openchargealliance.org/wp-content/uploads/2025/04/Certificate_OCA.0201.0030.CSMS_Tardis.pdf,Charging Station Management System
OCA.0016.0406.CSMS,TBU Inc.,https://openchargealliance.org/participants/tbu-inc/,Republic of Korea,EL-CSMS,Full,1.0,OCPP 1.6,2023-06-22,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0406.CSMS_TBU-Inc.pdf,Charging Station Management System
OCA.0016.0407.CSMS,TBU Inc.,https://openchargealliance.org/participants/tbu-inc/,Republic of Korea,EL-CSMS,Security,1.0,OCPP 1.6,2023-06-22,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0407.CSMS_TBU-Inc.pdf,Charging Station Management System
OCA.0201.0035.CSMS,TBU Inc.,https://openchargealliance.org/participants/tbu-inc/,Republic of Korea,TBU CSMS,Core,1.0.0,OCPP 2.0.1,2024-05-31,https://openchargealliance.org/wp-content/uploads/2024/07/Certificate_OCA.0201.0035.CSMS_TBU.pdf,Charging Station Management System
OCA.0201.0162.CSMS,"Teison Energy Technology Co.,Ltd.",https://openchargealliance.org/participants/teison-energy-technology-co-ltd/,China,TAOS,Core + S + C + I,V1.0,OCPP 2.0.1,2026-06-15,https://openchargealliance.org/wp-content/uploads/2026/06/Certificate_OCA.0201.0162.CSMS_Teison.pdf,Charging Station Management System
OCA.0016.0240.CSMS,The Meta-Energy,,Republic of Korea,MetaEV 1.1.0,Full,metaev.1.1.0,OCPP 1.6,2023-01-07,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0240.CSMS_TheMetaEnergy.pdf,Charging Station Management System
OCA.0201.0111.CSMS,The Mobility House,,USA,ChargePilot,Core + S,v2.0.1,OCPP 2.0.1,2025-11-17,https://openchargealliance.org/wp-content/uploads/2025/12/Certificate_OCA.0201.0111.CSMS_TheMobilityHouse.pdf,Charging Station Management System
OCA.0016.1267.CSMS,Trism Inc.,https://openchargealliance.org/participants/trism-inc/,Republic of Korea,Trism CSMS,Core + S + C,1.0.0,OCPP 1.6,2026-07-20,https://openchargealliance.org/wp-content/uploads/2026/07/Certificate_OCA.0016.1267.CSMS_Trism.pdf,Charging Station Management System
OCA.0016.0340.CSMS,"TSCT Co, Ltd",https://openchargealliance.org/participants/tsct-co-ltd/,Republic of Korea,TSCT CSMS OCPP 1.6 server,Full,1.0.0,OCPP 1.6,2023-04-26,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0340.CSMS_TaeSeongConTech.pdf,Charging Station Management System
OCA.0016.0341.CSMS,"TSCT Co, Ltd",https://openchargealliance.org/participants/tsct-co-ltd/,Republic of Korea,TSCT CSMS OCPP 1.6 server,Security,1.0.0,OCPP 1.6,2023-04-26,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0341.CSMS_TaeSeongConTech.pdf,Charging Station Management System
OCA.0016.0150.CSMS,UNIEV Inc.,,Republic of Korea,UNIEV-CSMS,Full,1.1.0,OCPP 1.6,2022-02-28,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160150CSMS_UNIEV.pdf,Charging Station Management System
OCA.0016.0151.CSMS,UNIEV Inc.,,Republic of Korea,UNIEV-CSMS,Security,1.0.0,OCPP 1.6,2022-02-28,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA00160151CSMS_UNIEV.pdf,Charging Station Management System
OCA.0016.0180.CSMS,UNIVERSITY-INDUSTRY COOPERATION GROUP OF KYUNG HEE UNIVERSITY,https://openchargealliance.org/participants/university-industry-cooperation-group-of-kyung-hee-university/,Republic of Korea,KHU_CSMS_V2,Security,2.0,OCPP 1.6,2022-08-19,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0016.0180.CSMS_UICGOKH.pdf,Charging Station Management System
OCA.0016.0884.CSMS,Uplusit Inc.,https://openchargealliance.org/participants/uplusit-inc/,Republic of Korea,CAREV,Full,1.0.0,OCPP 1.6,2024-10-17,https://openchargealliance.org/wp-content/uploads/2024/11/Certificate_OCA.0016.0884.CSMS_Uplusit.pdf,Charging Station Management System
OCA.0201.0006.CSMS,Vattenfall,https://openchargealliance.org/participants/vattenfall/,The Netherlands,MyInCharge Portal,Core + S,2.0.1,OCPP 2.0.1,2023-11-19,https://openchargealliance.org/wp-content/uploads/2023/12/Certificate_OCA.0201.0006.CSMS_Vattenfall.pdf,Charging Station Management System
